deal_id|deal_name|account_id|rep_id|stage|lead_source|deal_type|amount|probability_pct|created_date|expected_close_date|close_date
1|Nod Publishers GmbH - Training Package|3|4|Closed Won|Referral|Renewal|31000.00|100|2025-11-04|2026-03-13|2026-03-07
2|Fabrikam SARL - Data Platform|32|1|Qualification|Partner|New Business|76500.00|25|2026-07-13|2026-10-30|
3|Winsome Apparel GmbH - Support Renewal|10|5|Qualification|Referral|Renewal|45500.00|25|2026-06-28|2026-09-06|
4|Graphic Design Institute AG - Cloud Subscription|60|1|Proposal|Outbound|New Business|45500.00|50|2025-05-21|2025-07-22|
5|Fabrikam SARL - Data Platform|32|5|Closed Lost|Outbound|Upsell|19000.00|0|2025-10-20|2025-12-29|2026-01-03
6|Fabrikam SARL - Training Package|32|1|Closed Won|Outbound|New Business|15000.00|100|2026-07-09|2026-10-28|2026-09-30
7|Munson's Pickles Sp. z o.o. - Enterprise License|53|11|Closed Won|Referral|Renewal|123000.00|100|2025-08-24|2025-09-14|2025-09-05
8|Best For You Organics Ltd - Reporting Add-on|36|7|Closed Lost|Partner|Renewal|105000.00|0|2026-03-25|2026-07-24|2026-06-08
9|Tall Poppies Ltd - Analytics Suite|37|12|Closed Won|Website|Upsell|10500.00|100|2026-05-31|2026-10-15|2026-09-30
10|Lucerne Publishing Ltd - Data Platform|38|6|Prospecting|Website|New Business|17000.00|10|2026-07-01|2026-10-14|
11|Woodgrove Bank GmbH - Enterprise License|56|10|Closed Lost|Website|New Business|30500.00|0|2025-12-07|2026-03-16|2026-03-01
12|Margie's Travel SL - Migration Project|47|9|Proposal|Outbound|New Business|39500.00|50|2026-06-26|2026-10-13|
13|Lucerne Publishing Ltd - Data Platform|38|7|Qualification|Partner|Upsell|55000.00|25|2026-07-10|2026-09-12|
14|Lamna Healthcare Ltd - Training Package|34|4|Closed Won|Referral|New Business|15500.00|100|2025-05-28|2025-09-29|2025-10-19
15|Litware GmbH - Reporting Add-on|12|2|Closed Won|Trade Show|Renewal|9500.00|100|2025-08-09|2025-12-03|2025-12-02
16|First Up Consultants SARL - Support Renewal|29|4|Closed Lost|Outbound|New Business|43500.00|0|2025-09-04|2025-11-06|2025-11-26
17|Southridge Video BV - Training Package|41|6|Prospecting|Partner|New Business|27500.00|10|2026-09-21|2026-11-07|
18|Bellows College Inc - Analytics Suite|22|12|Closed Won|Website|Upsell|16500.00|100|2025-03-30|2025-08-16|2025-09-26
19|Munson's Pickles Sp. z o.o. - Support Renewal|53|7|Qualification|Trade Show|New Business|31500.00|25|2025-08-16|2025-10-26|
20|Coho Winery Sp. z o.o. - Reporting Add-on|54|9|Negotiation|Outbound|New Business|3500.00|75|2026-05-11|2026-08-02|
21|Litware GmbH - Enterprise License|12|9|Negotiation|Trade Show|Upsell|14500.00|75|2026-06-02|2026-09-01|
22|City Power & Light GmbH - Enterprise License|9|2|Closed Won|Website|New Business|23500.00|100|2025-09-29|2025-11-14|2025-11-30
23|Winsome Apparel GmbH - Analytics Suite|10|9|Negotiation|Website|Renewal|9500.00|75|2026-05-12|2026-10-05|
24|Winsome Apparel GmbH - Training Package|10|12|Closed Lost|Partner|Upsell|10000.00|0|2026-02-07|2026-03-24|2026-03-25
25|Relecloud Inc - Reporting Add-on|15|11|Negotiation|Website|New Business|15500.00|75|2026-01-29|2026-04-14|
26|Relecloud Inc - Analytics Suite|15|10|Prospecting|Partner|Upsell|17000.00|10|2026-07-18|2026-08-23|
27|City Power & Light GmbH - Analytics Suite|9|4|Closed Won|Trade Show|New Business|6000.00|100|2025-07-27|2025-12-22|2025-11-13
28|Nod Publishers GmbH - Cloud Subscription|3|3|Closed Lost|Outbound|Upsell|108500.00|0|2026-02-28|2026-04-23|2026-03-15
29|Trey Research GmbH - Migration Project|57|5|Negotiation|Outbound|New Business|13500.00|75|2026-03-26|2026-05-16|
30|Trey Research GmbH - Reporting Add-on|57|2|Negotiation|Outbound|Renewal|24500.00|75|2026-02-18|2026-07-06|
31|Northwind Traders GmbH - Cloud Subscription|11|9|Closed Won|Partner|Renewal|102000.00|100|2026-01-27|2026-06-12|2026-07-25
32|Prose Ware Systems Inc - Support Renewal|19|5|Qualification|Referral|Upsell|21000.00|25|2025-08-12|2025-10-09|
33|Relecloud Inc - Enterprise License|15|4|Closed Lost|Referral|Upsell|42000.00|0|2026-01-21|2026-02-17|2026-03-16
34|Wide Field Robotics SARL - Analytics Suite|31|5|Qualification|Referral|New Business|10000.00|25|2026-09-09|2026-11-20|
35|Woodgrove Bank Inc - Migration Project|16|4|Closed Won|Outbound|New Business|47000.00|100|2025-03-09|2025-06-07|2025-06-13
36|Trey Research GmbH - Migration Project|57|11|Closed Won|Outbound|New Business|30000.00|100|2025-02-18|2025-03-15|2025-03-02
37|Trail Frames Chalet Inc - Reporting Add-on|58|12|Negotiation|Website|New Business|34000.00|75|2026-04-11|2026-08-20|
38|Wide Field Robotics SARL - Reporting Add-on|31|9|Closed Won|Referral|Upsell|33500.00|100|2026-01-18|2026-05-06|2026-05-07
39|Fincher Architects SpA - Support Renewal|46|2|Closed Won|Outbound|New Business|34500.00|100|2025-05-02|2025-08-05|2025-08-25
40|Wingtip Toys BV - Support Renewal|39|3|Closed Won|Website|New Business|19000.00|100|2025-08-08|2025-12-25|2025-11-30
41|Lamna Healthcare Ltd - Analytics Suite|34|5|Proposal|Outbound|New Business|50500.00|50|2025-11-13|2026-01-02|
42|Northwind Traders GmbH - Data Platform|11|1|Prospecting|Website|New Business|15000.00|10|2026-09-14|2027-01-26|
43|Fourth Coffee GmbH - Migration Project|8|10|Prospecting|Outbound|Upsell|65000.00|10|2026-07-13|2026-08-09|
44|Prose Ware Systems Inc - Data Platform|19|11|Closed Won|Outbound|Renewal|57000.00|100|2026-04-07|2026-05-26|2026-06-09
45|Fourth Coffee SL - Support Renewal|48|6|Closed Lost|Outbound|Renewal|11500.00|0|2025-03-08|2025-06-21|2025-04-26
46|First Up Consultants SARL - Data Platform|29|4|Closed Won|Outbound|New Business|39000.00|100|2026-01-01|2026-03-22|2026-03-08
47|Graphic Design Institute Inc - Reporting Add-on|20|11|Closed Lost|Outbound|New Business|41500.00|0|2025-05-14|2025-09-27|2025-10-02
48|Liberty Delightful Sinful Bakery Ltd - Analytics Suite|35|2|Proposal|Outbound|New Business|24500.00|50|2026-05-08|2026-08-03|
49|City Power & Light SL - Cloud Subscription|49|3|Qualification|Referral|Renewal|36000.00|25|2026-05-01|2026-06-26|
50|Tres Chic Boutique GmbH - Support Renewal|2|3|Qualification|Outbound|New Business|20000.00|25|2026-02-05|2026-05-05|
51|Margie's Travel GmbH - Reporting Add-on|7|9|Closed Lost|Outbound|New Business|13500.00|0|2025-12-06|2026-02-03|2026-02-01
52|Trail Frames Chalet Inc - Training Package|58|2|Negotiation|Referral|New Business|15000.00|75|2025-01-12|2025-03-23|
53|Northwind Traders GmbH - Analytics Suite|11|11|Qualification|Website|New Business|42500.00|25|2026-07-16|2026-09-14|
54|Proseware BV - Enterprise License|40|12|Negotiation|Website|Upsell|63000.00|75|2025-09-11|2025-12-09|
55|Lucerne Publishing Ltd - Cloud Subscription|38|8|Prospecting|Outbound|New Business|28000.00|10|2026-01-30|2026-05-08|
56|Graphic Design Institute Inc - Migration Project|20|4|Qualification|Website|New Business|41500.00|25|2025-11-21|2026-01-03|
57|Margie's Travel SL - Support Renewal|47|9|Prospecting|Website|Renewal|49000.00|10|2026-05-26|2026-09-12|
58|Fourth Coffee GmbH - Enterprise License|8|8|Qualification|Referral|New Business|12500.00|25|2026-06-29|2026-10-25|
59|Contoso Inc - Enterprise License|21|11|Closed Lost|Referral|New Business|37500.00|0|2026-05-26|2026-09-27|2026-08-21
60|Wingtip Toys BV - Enterprise License|39|11|Proposal|Website|New Business|16000.00|50|2025-01-15|2025-06-14|
61|Munson's Pickles GmbH - Cloud Subscription|13|1|Closed Won|Outbound|New Business|25500.00|100|2025-02-21|2025-04-26|2025-04-23
62|Humongous Insurance Ltd - Support Renewal|33|7|Qualification|Outbound|Renewal|58500.00|25|2026-07-28|2026-10-06|
63|Litware GmbH - Cloud Subscription|12|2|Closed Won|Trade Show|New Business|30500.00|100|2025-05-27|2025-10-23|2025-10-04
64|Wide Field Robotics SARL - Cloud Subscription|31|8|Closed Won|Partner|Renewal|8500.00|100|2025-10-03|2026-01-30|2026-01-21
65|Parnell Aerospace SARL - Enterprise License|30|5|Closed Won|Website|New Business|20000.00|100|2025-11-10|2026-04-04|2026-04-16
66|Fincher Architects SpA - Reporting Add-on|46|5|Negotiation|Website|New Business|53500.00|75|2026-05-01|2026-06-18|
