product_id|sku|name|category|list_price|cost_price|brand
1|SKU-1001|Orbit Accessories Pro|Accessories|27.42|13.75|Orbit
2|SKU-1002|Lumen Accessories Ultra|Accessories|120.91|72.95|Lumen
3|SKU-1003|Cobalt Accessories Compact|Accessories|148.69|76.44|Kestrel
4|SKU-1004|Ridge Accessories Studio|Accessories|39.44|18.23|Cobalt
5|SKU-1005|Voltra Accessories Nano|Accessories|82.16|53.13|Voltra
6|SKU-1006|Lumen Accessories Max|Accessories|54.40|37.36|Solace
7|SKU-1007|Vertex Accessories Air|Accessories|79.24|53.99|Ridge
8|SKU-1008|Voltra Accessories Edge|Accessories|52.69|34.83|Orbit
9|SKU-1009|Ridge Accessories Prime|Accessories|41.66|23.65|Solace
10|SKU-1010|Orbit Accessories Lite|Accessories|54.08|27.73|Orbit
11|SKU-1011|Orbit Audio Pro|Audio|268.79|144.53|Nimbus
12|SKU-1012|Nimbus Audio Ultra|Audio|137.61|85.95|Voltra
13|SKU-1013|Voltra Audio Compact|Audio|361.83|185.88|Vertex
14|SKU-1014|Nimbus Audio Studio|Audio|190.57|89.34|Solace
15|SKU-1015|Solace Audio Nano|Audio|77.82|51.05|Lumen
16|SKU-1016|Voltra Audio Max|Audio|277.54|156.32|Voltra
17|SKU-1017|Cobalt Audio Air|Audio|304.08|165.92|Lumen
18|SKU-1018|Voltra Audio Edge|Audio|193.58|120.53|Kestrel
19|SKU-1019|Nimbus Audio Prime|Audio|379.68|245.30|Voltra
20|SKU-1020|Lumen Audio Lite|Audio|45.32|30.57|Nimbus
21|SKU-1021|Vertex Cables Pro|Cables & Power|40.87|22.36|Voltra
22|SKU-1022|Ridge Cables Ultra|Cables & Power|35.30|20.71|Ridge
23|SKU-1023|Nimbus Cables Compact|Cables & Power|15.70|7.12|Ridge
24|SKU-1024|Northgear Cables Studio|Cables & Power|22.81|14.62|Kestrel
25|SKU-1025|Nimbus Cables Nano|Cables & Power|56.61|36.19|Voltra
26|SKU-1026|Nimbus Cables Max|Cables & Power|53.73|32.13|Ridge
27|SKU-1027|Lumen Cables Air|Cables & Power|26.97|15.19|Cobalt
28|SKU-1028|Ridge Cables Edge|Cables & Power|44.97|27.80|Nimbus
29|SKU-1029|Voltra Cables Prime|Cables & Power|11.38|6.89|Vertex
30|SKU-1030|Ridge Cables Lite|Cables & Power|38.30|26.95|Lumen
31|SKU-1031|Solace Displays Pro|Displays|572.84|369.33|Voltra
32|SKU-1032|Cobalt Displays Ultra|Displays|886.69|587.11|Orbit
33|SKU-1033|Northgear Displays Compact|Displays|916.67|552.49|Orbit
34|SKU-1034|Cobalt Displays Studio|Displays|1042.04|650.50|Vertex
35|SKU-1035|Ridge Displays Nano|Displays|493.52|343.61|Vertex
36|SKU-1036|Ridge Displays Max|Displays|600.54|300.95|Orbit
37|SKU-1037|Vertex Displays Air|Displays|290.89|188.97|Vertex
38|SKU-1038|Voltra Displays Edge|Displays|1260.44|879.61|Northgear
39|SKU-1039|Voltra Displays Prime|Displays|180.18|106.25|Lumen
40|SKU-1040|Lumen Displays Lite|Displays|310.10|219.39|Cobalt
41|SKU-1041|Voltra Storage Pro|Storage|315.72|220.08|Northgear
42|SKU-1042|Nimbus Storage Ultra|Storage|65.62|41.23|Kestrel
43|SKU-1043|Solace Storage Compact|Storage|390.04|276.67|Solace
44|SKU-1044|Ridge Storage Studio|Storage|73.28|39.70|Lumen
